"support_war","strong_leader","compliance","female","age","income","religion","hindu","practicing_religion","education","political_ideology","employment","employed","marital_status","married","job_loss"
1,1,0,1,29,3,6,1,1,4,8,1,1,1,1,1
0,1,0,1,43,1,6,1,1,0,5,2,0,1,1,3
0,0,0,0,18,6,6,1,1,5,2,5,0,6,0,2
0,1,0,0,18,5,6,1,1,3,10,6,0,6,0,2
0,1,0,1,50,4,6,1,1,4,10,3,0,1,1,1
0,0,0,0,35,4,6,1,1,4,10,3,0,6,0,3
1,0,0,1,21,2,6,1,3,5,5,6,0,6,0,2
1,0,0,1,51,2,6,1,3,1,1,2,0,1,1,1
1,1,0,1,24,6,5,0,1,5,5,1,1,6,0,1
1,0,0,0,38,8,6,1,3,6,5,4,0,1,1,2
0,1,0,1,35,7,6,1,2,4,5,4,0,1,1,1
0,1,0,1,45,3,6,1,3,3,8,2,0,1,1,2
1,1,1,0,36,5,6,1,1,4,8,1,1,1,1,2
0,1,0,0,45,2,5,0,1,1,7,1,1,1,1,2
0,1,0,0,39,5,6,1,1,4,10,3,0,1,1,1
1,0,1,0,47,6,6,1,1,4,6,4,0,1,1,1
0,0,0,0,36,4,6,1,1,4,10,3,0,6,0,1
1,1,0,1,23,7,1,0,1,4,5,3,0,6,0,3
1,1,1,0,18,7,6,1,1,7,10,6,0,6,0,2
0,1,0,1,24,3,6,1,1,4,10,3,0,6,0,1
0,1,0,1,25,4,5,0,3,4,5,2,0,6,0,1
1,1,1,0,61,2,6,1,3,4,10,3,0,1,1,3
0,1,0,0,50,3,6,1,1,4,5,1,1,6,0,2
1,1,0,0,52,4,6,1,1,5,10,5,0,1,1,2
1,1,0,0,22,4,6,1,1,4,10,5,0,6,0,1
0,1,0,0,18,6,6,1,4,3,10,2,0,6,0,1
0,0,0,0,57,9,6,1,1,4,10,8,0,1,1,1
1,1,1,1,25,2,6,1,1,3,6,3,0,1,1,2
1,0,1,0,40,2,6,1,2,2,5,1,1,6,0,1
0,0,0,0,41,9,6,1,3,7,3,3,0,1,1,1
1,1,0,0,18,2,6,1,2,4,7,6,0,6,0,1
1,0,0,0,21,10,6,1,3,8,6,7,0,6,0,1
0,1,0,0,49,2,6,1,2,0,10,1,1,3,0,1
1,0,0,1,48,2,1,0,1,4,6,3,0,6,0,2
0,1,0,1,42,3,6,1,3,4,10,2,0,1,1,1
1,0,0,0,52,9,6,1,1,6,10,7,0,1,1,1
0,1,0,0,51,5,6,1,3,4,1,3,0,1,1,1
0,1,0,0,38,4,6,1,1,5,10,2,0,1,1,1
0,1,0,1,34,10,6,1,3,7,10,8,0,1,1,1
1,0,0,1,31,5,6,1,1,4,5,1,1,3,0,1
1,0,0,0,20,3,1,0,3,3,6,6,0,6,0,2
1,0,0,0,22,2,6,1,1,1,9,3,0,6,0,4
0,1,0,1,22,2,6,1,1,4,6,1,1,6,0,2
0,0,0,0,35,2,1,0,1,4,5,2,0,6,0,1
0,1,0,1,18,7,6,1,2,6,8,6,0,6,0,3
0,0,0,1,65,3,6,1,1,4,8,5,0,1,1,1
1,0,0,0,59,5,6,1,2,4,5,1,1,1,1,4
1,0,0,0,36,5,6,1,1,5,7,3,0,1,1,1
0,1,0,1,22,1,6,1,4,0,3,1,1,6,0,3
1,1,0,0,20,4,6,1,1,4,10,2,0,6,0,1
1,1,0,1,19,2,6,1,1,4,8,1,1,6,0,1
0,1,0,1,22,4,6,1,2,4,7,6,0,6,0,1
0,1,0,1,26,2,6,1,1,2,9,3,0,6,0,1
0,0,0,1,36,3,6,1,1,4,7,2,0,1,1,2
1,0,0,1,27,8,9,0,1,7,10,5,0,6,0,4
0,1,0,1,36,3,6,1,3,5,8,5,0,1,1,1
1,0,0,1,50,5,6,1,1,4,5,4,0,1,1,3
1,0,0,1,22,1,1,0,1,1,3,3,0,6,0,3
0,1,0,1,28,5,6,1,1,4,10,1,1,1,1,3
0,0,0,1,25,3,6,1,1,4,7,2,0,1,1,1
0,1,0,0,56,6,6,1,3,3,10,3,0,1,1,1
0,0,0,1,43,4,6,1,2,4,9,3,0,1,1,1
0,0,0,1,36,2,6,1,2,3,5,5,0,1,1,1
1,0,1,1,25,3,1,0,4,5,3,6,0,6,0,3
1,1,1,0,48,2,6,1,1,4,10,3,0,1,1,2
0,1,0,1,41,7,6,1,1,4,10,1,1,1,1,1
0,1,0,1,23,2,6,1,1,0,6,1,1,6,0,1
0,1,0,1,27,2,6,1,3,1,5,2,0,1,1,3
0,0,0,0,56,4,6,1,2,4,4,1,1,1,1,1
0,1,0,1,40,2,6,1,1,4,8,2,0,1,1,2
1,1,0,0,45,2,6,1,1,4,10,1,1,1,1,1
0,0,0,0,49,4,1,0,1,3,10,7,0,6,0,4
1,1,0,1,25,4,6,1,1,4,6,1,1,6,0,1
1,1,0,1,25,3,6,1,2,4,6,1,1,6,0,1
0,0,0,1,22,2,7,0,1,4,6,7,0,6,0,3
1,1,0,1,29,6,6,1,1,4,9,5,0,1,1,1
0,1,0,1,21,2,6,1,3,4,2,6,0,6,0,3
0,0,0,1,32,3,6,1,3,4,6,1,1,1,1,2
1,1,0,1,21,2,7,0,3,1,8,1,1,6,0,4
0,1,0,0,48,3,6,1,4,4,5,3,0,1,1,1
1,1,0,0,63,5,6,1,1,4,8,3,0,6,0,4
1,1,0,1,23,2,6,1,1,1,4,2,0,1,1,1
1,0,0,1,30,4,6,1,1,5,10,1,1,1,1,3
0,0,0,1,36,3,6,1,1,4,10,1,1,1,1,1
